cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
038151976E;449651;57398.879;1.0;57398.88;SETTORI ORDINARI;2009-10-15;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI ROSOLINI;SEZIONE REGIONALE SICILIA;SERVIZI SOCIALI;SOCIETÀ COOPERATIVA SOCIALE FUTURA O.N.L.U.S;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03878808B1;458692;35000.0;1.0;35000.0;SETTORI ORDINARI;2009-10-27;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;PORTO CONTE RICERCHE SRL;SEZIONE REGIONALE SARDEGNA;REATTIVI PER LANALISI DEL SANGUE;ILLUMINA GMBH;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1184740E5C;1238922;186400.0;1.0;186400.0;SETTORI SPECIALI;2009-10-23;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;REGIONE VENETO;SEZIONE REGIONALE VENETO;SERVIZI DI PIANIFICAZIONE TECNICA;SISTEMI OPERATIVI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0386378136;457418;11952000.0;1.0;4950000.0;SETTORI ORDINARI;2009-10-26;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;SERVIZI ASSICURATIVI;CHARTIS EUROPE S.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3309089A9E;3327470;183000.0;1.0;183000.0;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS 18 ROVIGO;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;OFFICINA BIOMEDICA - DIVISIONE SERVIZI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0386393D93;457418;11952000.0;1.0;147000.0;SETTORI ORDINARI;2009-10-26;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;SERVIZI ASSICURATIVI;ALLIANZ SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0385159342;456286;40000.0;1.0;40000.0;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;COMUNE DI CUSANO MUTRI;SEZIONE REGIONALE CAMPANIA;COMBUSTIBILE DIESEL (EN 590);IES S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2518973247;2589270;81891.91;1.0;81891.91;SETTORI ORDINARI;2009-10-23;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;REGIONE VENETO;SEZIONE REGIONALE VENETO;LAVORI DI DIFESA DALLE PIENE;MOLON GRAZIANO IMPRESA COSTRUZIONI EDILI E STRADAL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
278129908B;2832390;98592.938;1.0;98592.94;SETTORI ORDINARI;2009-10-26;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;CENTRO SERVIZI PER ANZIANI DI MONSELICE;SEZIONE REGIONALE VENETO;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;BARBIN IMPIANTI SNC;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
1299736014;1355758;397368.0;1.0;397368.0;SETTORI ORDINARI;2009-10-05;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;COMUNE DI AOSTA;SEZIONE REGIONALE VALLE DAOSTA;SERVIZI DI ASSISTENZA SOCIALE;TRAIT DUNION SCS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2497330DE5;2570375;180374.57;1.0;180374.57;SETTORI ORDINARI;2009-10-22;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER LA TUTELA DELLA SALUTE;SEZIONE REGIONALE SARDEGNA;CABLAGGIO DI RETE;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
4037204621;4017227;143211.125;1.0;143211.12;SETTORI ORDINARI;2009-10-29;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;UNIVERSIT? DEGLI STUDI DI FOGGIA;SEZIONE REGIONALE CENTRALE;SERVIZI DI PULIZIA DI UFFICI, SCUOLE E APPARECCHIATURE PER UFFICIO;CNS SOC. COOP.;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
3281322891;3300237;124408.25;1.0;124408.25;SETTORI ORDINARI;2009-10-23;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI SAN GREGORIO MAGNO;SEZIONE REGIONALE CAMPANIA;LAVORI DI RIFACIMENTO DI MANTO STRADALE;VERZELLINO DOMENICO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0544762FCE;590579;140363.875;1.0;140363.88;SETTORI ORDINARI;2009-10-19;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;AZIENDA SANITARIA LOCALE 1 DI AVEZZANO-SULMONA-L AQUILA;SEZIONE REGIONALE ABRUZZO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHI PER RAGGI X;SIEMENS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03880694AA;458856;13000.0;3.0;67000.0;SETTORI ORDINARI;2009-10-29;PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERA OSPEDALI RIUNITI PAPARDO- PIEMONTE;SEZIONE REGIONALE SICILIA;MONITOR;FOR MEDICAL CO. SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03425010C4;420508;33798.0;1.0;33798.0;SETTORI ORDINARI;2009-10-16;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUISIZIONE IN ECONOMIA;UNIVERSITA DEGLI STUDI DI PALERMO;SEZIONE REGIONALE CENTRALE;MOBILI PER UFFICI;ICAR ARREDI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2416224B1C;2492515;70000.0;1.0;70000.0;SETTORI ORDINARI;2009-10-26;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;COMUNE DI MANSUE ;SEZIONE REGIONALE VENETO;RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI ALLE STRADE ED ALTRE ATTREZZATURE;FERRO MICHELE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5416195182;5287541;215431.3;1.0;215431.3;SETTORI ORDINARI;2009-10-26;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;COMUNE DI NAPOLI;SEZIONE REGIONALE CAMPANIA;LAVORI SU RETI FOGNARIE;GENERAL COSTRUZIONI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2269123B86;2344304;201425.42;1.0;201425.42;SETTORI ORDINARI;2009-10-07;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI RUTIGLIANO;SEZIONE REGIONALE PUGLIA;LAVORI IN CEMENTO ARMATO;NUOVA EDIL DI MARELLA VITO & C. S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3132019FD3;3158753;110526.719;1.0;110526.72;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS N.5 POLESANA;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;SIEMENS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1639341AFA;1704543;88452.0;1.0;88452.0;SETTORI ORDINARI;2009-10-01;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI MARSALA;SEZIONE REGIONALE SICILIA;SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI;CEPAID SOC.COOP.SOC.ONLUS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1639341AFA;1704543;88452.0;1.0;88452.0;SETTORI ORDINARI;2009-10-01;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI MARSALA;SEZIONE REGIONALE SICILIA;SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI;LETIZIA COOPEREATIVA SOCIALE A R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1639341AFA;1704543;88452.0;1.0;88452.0;SETTORI ORDINARI;2009-10-01;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI MARSALA;SEZIONE REGIONALE SICILIA;SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI;CONSORZIO SOLIDALIA SOC. COOP.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0014819505;22259;115000.0;1.0;115000.0;SETTORI ORDINARI;2009-10-12;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI BAGHERIA;SEZIONE REGIONALE SICILIA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;IMPIANTI TECNOLOGICI BONGIOVANNI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0374084FDD;446706;87029.852;1.0;87029.85;SETTORI ORDINARI;2009-10-08;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI SETZU;SEZIONE REGIONALE SARDEGNA;LAVORI DI PREPARAZIONE DEL SITO E SGOMBERO;IMPRESA EDILIZIA ARTIGINA ATZENI GIUSEPPE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
5238663975;5125948;100000.0;1.0;100000.0;SETTORI ORDINARI;2009-10-12;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;REGIONE PUGLIA;SEZIONE REGIONALE PUGLIA;ELABORAZIONE DI ACCORDI SUL LIVELLO DI ASSISTENZA;NEVER BEFORE ITALIA SRL US;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
09432591F3;996640;87212.0;1.0;87212.0;SETTORI ORDINARI;2009-10-14;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACCORDO QUADRO/CONVENZIONE;ASSOCIAZIONI, UNIONI O CONSORZI PRIVI DI PERSONALITA  GIURIDICA;SEZIONE REGIONALE CENTRALE;MATERIALI MEDICI;CONMED ITALIA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4052582874;4031918;49155.102;1.0;49155.1;SETTORI ORDINARI;2009-10-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MINISTERO DIFESA COMANDO GENERALE ARMA CARABINIERI;SEZIONE REGIONALE CENTRALE;LAVORI EDILI;ICOS SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0371790ACD;444681;99925.08;1.0;99925.08;SETTORI ORDINARI;2009-10-06;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI PERDASDEFOGU;SEZIONE REGIONALE SARDEGNA;IMPIANTO SOLARE;ELETTROCLIMA DI PODDA ANDREA & C S.A.S;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
19224865A1;1992906;77103.0;1.0;77103.0;SETTORI ORDINARI;2009-10-31;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI ANGHIARI;SEZIONE REGIONALE TOSCANA;LAVORI DI SUPERFICIE PER CIMITERI;EDIL TRINACRIA DI D'ALUISI MAURO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
1478611C62;1533072;149740.2;1.0;149740.2;SETTORI ORDINARI;2009-10-02;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;CITTA' METROPOLITANA DI MESSINA;SEZIONE REGIONALE SICILIA;LAVORI DI MANUTENZIONE STRADALE;LETTINA NATALINO ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2710190788;2767302;4575000.0;1.0;4575000.0;SETTORI ORDINARI;2009-10-30;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;REGIONE AUTONOMA VALLE D  AOSTA;SEZIONE REGIONALE VALLE DAOSTA;SERVIZI RADIOTELEVISIVI VIA CAVO;RAI - RADIOTELEVISIONE ITALIANA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3656963D52;3655388;41269.98;1.0;41269.98;SETTORI ORDINARI;2009-10-21;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ENTE PARCO DELLE MADONIE;SEZIONE REGIONALE SICILIA;LAVORI DI COSTRUZIONE DI PARCHEGGI;DOLMEN SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0374390C63;447090;101900.0;1.0;101900.0;SETTORI ORDINARI;2009-10-09;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI NAVI DA GUERRA;S.I.A.N.I. - SISTEMI IMPIANTI ALLESTIMENTI NAVALI ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0385559D56;456658;77257.99;1.0;77257.99;SETTORI ORDINARI;2009-10-23;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;ISTITUTO NAZIONALE PERL ASSICURAZIONE CONTRO GLI INFORTUNI SUL LAVORO;SEZIONE REGIONALE CENTRALE;LAVORI DI RISTRUTTURAZIONE;GUERRIERI LEONARDO E C. SAS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
144012089C;1495686;151844.0;1.0;151844.0;SETTORI ORDINARI;2009-10-26;PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI MANUTENZIONE DI INFRASTRUTTURE PER TELECOMUNICAZIONI;FASTWEB S.P.A.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
144012089C;1495686;151844.0;1.0;151844.0;SETTORI ORDINARI;2009-10-26;PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI MANUTENZIONE DI INFRASTRUTTURE PER TELECOMUNICAZIONI;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
144012089C;1495686;151844.0;1.0;151844.0;SETTORI ORDINARI;2009-10-26;PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI MANUTENZIONE DI INFRASTRUTTURE PER TELECOMUNICAZIONI;WIND TELECOMUNICAZIONI S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
144012089C;1495686;151844.0;1.0;151844.0;SETTORI ORDINARI;2009-10-26;PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI MANUTENZIONE DI INFRASTRUTTURE PER TELECOMUNICAZIONI;HP ENTERPRISE SERVICES ITALIA S.R.L.     (EX EDS ELECTRONIC DATA SYSTEMS ITALIA S.P.A.);ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
144012089C;1495686;151844.0;1.0;151844.0;SETTORI ORDINARI;2009-10-26;PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI MANUTENZIONE DI INFRASTRUTTURE PER TELECOMUNICAZIONI;BT ITALIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1148383B9E;1202020;4567600.0;1.0;4567600.0;SETTORI ORDINARI;2009-10-30;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;CONTRATTO D'APPALTO;SOCIETA  ITALIANA TRAFORO AUTOSTRADALE DEL FREJUS, SOCIETA  PER AZIONI;SEZIONE REGIONALE CENTRALE;SERVIZI DI PEDAGGIO AUTOSTRADALE;TECNOSITAF;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1300450D46;1356769;1138716.0;1.0;1138716.0;SETTORI ORDINARI;2009-10-05;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;COMUNE DI AOSTA;SEZIONE REGIONALE VALLE DAOSTA;SERVIZI SOCIALI;LA SORGENTE COOPERATIVA SOCIALE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
29002409C0;2943643;44938.0;1.0;44938.0;SETTORI ORDINARI;2009-10-02;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;COMUNE DI VARAZZE;SEZIONE REGIONALE LIGURIA;SERVIZI DI LABORATORIO;C.P.G. LAB;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
18083601E1;1880147;166666.66;1.0;166666.66;SETTORI ORDINARI;2009-10-23;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;REGIONE AUTONOMA DELLA SARDEGNA;SEZIONE REGIONALE SARDEGNA;SERVIZI DI PRODUZIONE RADIOFONICA;RAI RADIOTELEVISIONE ITALIANA SPA ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
32382039A4;3259195;643632.0;1.0;643632.0;SETTORI ORDINARI;2009-10-06;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;MINISTERO DELL INTERNO-DIPARTIMENTO PER GLI AFFARI INTERNI E TERRITORIALI;SEZIONE REGIONALE CENTRALE;EROGAZIONE DI ENERGIA ELETTRICA;GERMANO INDUSTRIE ELETTRICHE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
03863813AF;457418;11952000.0;1.0;630000.0;SETTORI ORDINARI;2009-10-26;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;SERVIZI ASSICURATIVI;ALLIANZ SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2661727E97;2720397;120000.0;1.0;120000.0;SETTORI SPECIALI;2009-10-15;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;GESTORE DEI SERVIZI ENERGETICI - GSE S.P.A.;SEZIONE REGIONALE CENTRALE;ARTICOLI DI CANCELLERIA ED ALTRI ARTICOLI DI CARTA;NOVA TIPOROM SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3606131171;3606942;58100.0;1.0;58100.0;SETTORI ORDINARI;2009-10-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS 18 ROVIGO;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;PHILIPS S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2411420EB8;2487349;60500.0;1.0;60500.0;SETTORI ORDINARI;2009-10-22;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI DOVADOLA;SEZIONE REGIONALE EMILIA ROMAGNA;LAVORI DI RIFACIMENTO DI MANTO STRADALE;IMPRESA COROMANO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
04375559CC;501185;53400.0;1.0;53400.0;SETTORI ORDINARI;2009-10-29;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;COMUNE DI MAIOLATI SPONTINI;SEZIONE REGIONALE MARCHE;SERVIZI DI PROGETTAZIONE DI EDIFICI;LUMINAR FRANCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
167721626D;1743113;240333.76;2.0;150967.36;SETTORI ORDINARI;2009-10-16;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA SICILIA A. MIR;SEZIONE REGIONALE SICILIA;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASE PLAN ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
